id,customer_id,customer_type,payment_status,order_status,payment_method,transaction_ref,order_amount,admin_commission,is_pause,cause,shipping_address,created_at,updated_at,discount_amount,discount_type,coupon_code,coupon_discount_bearer,shipping_method_id,shipping_cost,order_group_id,verification_code,seller_id,seller_is,shipping_address_data,delivery_man_id,deliveryman_charge,expected_delivery_date,order_note,billing_address,billing_address_data,order_type,extra_discount,extra_discount_type,checked,shipping_type,delivery_type,delivery_service_name,third_party_delivery_tracking_id
100001,0,customer,paid,delivered,cash,,250,0.00,0,,,2023-06-07T05:56:25.000000Z,2023-06-07T05:56:25.000000Z,0,,,inhouse,0,0,def-order-group,0,1,admin,,,0,,,,,POS,0,,1,,,,
100002,3,customer,paid,delivered,cash_on_delivery,,84745,0.00,0,,1,2023-06-17T00:22:57.000000Z,2023-07-16T20:18:12.000000Z,0,,0,inhouse,2,45,2463-qQ5Yl-1686982977,142166,1,admin,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,2023-06-17,,,,default_type,0,,1,order_wise,,,
100003,3,customer,paid,delivered,cash_on_delivery,,35,0.00,0,,1,2023-06-17T03:45:13.000000Z,2023-06-17T04:38:24.000000Z,0,,0,inhouse,2,15,1799-eacvP-1686995113,915882,2,seller,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,1,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100004,3,customer,paid,delivered,cash_on_delivery,,56525,0.00,0,,1,2023-06-17T03:59:31.000000Z,2023-06-17T04:35:25.000000Z,0,,0,inhouse,2,25,4214-yQAU3-1686995971,251761,2,seller,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,1,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100005,3,customer,paid,delivered,cash_on_delivery,,35,0.00,0,,1,2023-06-17T04:14:54.000000Z,2023-06-17T04:34:37.000000Z,0,,0,inhouse,2,15,5025-zAXCM-1686996894,107773,2,seller,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,1,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100006,3,customer,paid,delivered,cash_on_delivery,,56525,0.00,0,,1,2023-06-17T04:23:15.000000Z,2023-06-17T04:32:08.000000Z,0,,0,inhouse,2,25,6753-f5Z9W-1686997395,334929,2,seller,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,1,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100007,3,customer,unpaid,pending,cash_on_delivery,,56525,0.00,0,,1,2023-06-17T05:03:33.000000Z,2023-06-17T05:04:00.000000Z,0,,0,inhouse,2,25,8946-FkP7v-1686999813,620946,2,seller,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,1,"{""id"":1,""customer_id"":3,""contact_person_name"":""ABC"",""address_type"":""home"",""address"":""Y=15 momhadpur"",""city"":""Dhaka, Bangladesh"",""zip"":""1207"",""phone"":""01700000000"",""created_at"":""2023-06-17T06:22:36.000000Z"",""updated_at"":""2023-06-17T06:22:36.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100008,8,customer,paid,delivered,cash_on_delivery,,1775,0.00,0,,2,2023-07-16T07:09:33.000000Z,2023-07-16T07:16:50.000000Z,0,,0,inhouse,2,25,9630-aO4cV-1689491373,184029,1,admin,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100009,8,customer,paid,delivered,cash_on_delivery,,3525,0.00,0,,2,2023-07-16T07:11:22.000000Z,2023-07-16T07:13:16.000000Z,0,,0,inhouse,2,25,3057-4r5VI-1689491482,362655,1,admin,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,2,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100010,8,customer,paid,delivered,cash_on_delivery,,558.9,0.00,0,,2,2023-07-16T11:26:20.000000Z,2023-07-16T11:28:19.000000Z,0,,0,inhouse,2,15,5598-2rHLe-1689506780,447795,4,seller,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,2,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
